TransactionID,CustomerID,Coustmer Name,ProductID,TransactionDate,Quantity,TotalValue,Price,Region,ProductName,Category
T00982,C0103,Jennifer Munoz,P034,17-07-2024,1,217.05,217.05,Europe,HomeSense T-Shirt,Clothing
T00003,C0028,Jennifer Pena,P057,25-01-2024,4,958.80,239.70,Asia,ActiveWear Smartphone,Electronics
T00013,C0183,Kimberly Johnson,P057,04-03-2024,4,958.80,239.70,North America,ActiveWear Smartphone,Electronics
T00017,C0087,Travis Campbell,P057,09-05-2024,4,958.80,239.70,South America,ActiveWear Smartphone,Electronics
T00046,C0190,Alexander Lowe,P057,28-07-2024,4,958.80,239.70,South America,ActiveWear Smartphone,Electronics
T00091,C0200,Kelly Cross,P057,27-04-2024,1,239.70,239.70,Asia,ActiveWear Smartphone,Electronics
T00161,C0055,Lauren Williams,P057,15-07-2024,2,479.40,239.70,North America,ActiveWear Smartphone,Electronics
T00184,C0188,Anna Ball,P057,13-05-2024,2,479.40,239.70,South America,ActiveWear Smartphone,Electronics
T00218,C0148,Matthew Rogers,P057,17-01-2024,3,719.10,239.70,South America,ActiveWear Smartphone,Electronics
T00417,C0035,Brianna Richardson,P057,20-04-2024,3,719.10,239.70,North America,ActiveWear Smartphone,Electronics
T00492,C0120,Francisco Diaz,P057,08-08-2024,3,719.10,239.70,South America,ActiveWear Smartphone,Electronics
T00605,C0017,Jennifer King,P057,31-12-2023,4,958.80,239.70,Europe,ActiveWear Smartphone,Electronics
T00615,C0145,Wayne Stone,P057,14-07-2024,2,479.40,239.70,Asia,ActiveWear Smartphone,Electronics
T00619,C0028,Jennifer Pena,P057,25-12-2024,2,479.40,239.70,Asia,ActiveWear Smartphone,Electronics
T00703,C0092,Jacqueline Zamora,P057,04-02-2024,3,719.10,239.70,Asia,ActiveWear Smartphone,Electronics
T00962,C0188,Anna Ball,P057,29-11-2024,2,479.40,239.70,South America,ActiveWear Smartphone,Electronics
T00004,C0004,Kathleen Rodriguez,P049,19-07-2024,4,591.80,147.95,South America,TechPro Textbook,Books
T00105,C0087,Travis Campbell,P049,12-02-2024,3,443.85,147.95,South America,TechPro Textbook,Books
T00136,C0010,Aaron Cox,P049,22-02-2024,2,295.90,147.95,Europe,TechPro Textbook,Books
T00237,C0065,Gerald Hines,P049,27-02-2024,2,295.90,147.95,North America,TechPro Textbook,Books
T00239,C0132,Lisa Jackson,P049,06-12-2024,2,295.90,147.95,Europe,TechPro Textbook,Books
T00310,C0068,Mark Cox,P049,18-05-2024,2,295.90,147.95,North America,TechPro Textbook,Books
T00470,C0123,Jason Johnston,P049,13-11-2024,1,147.95,147.95,Asia,TechPro Textbook,Books
T00551,C0018,Tyler Haynes,P049,23-02-2024,3,443.85,147.95,North America,TechPro Textbook,Books
T00563,C0064,Martha Montgomery,P049,16-01-2024,1,147.95,147.95,Europe,TechPro Textbook,Books
T00567,C0121,Mark Atkinson,P049,27-09-2024,2,295.90,147.95,Europe,TechPro Textbook,Books
T00620,C0041,Lindsey Deleon,P049,05-01-2024,4,591.80,147.95,Europe,TechPro Textbook,Books
T00650,C0070,Timothy Perez,P049,07-10-2024,4,591.80,147.95,Europe,TechPro Textbook,Books
T00818,C0161,Jessica Warren,P049,01-01-2024,1,147.95,147.95,Asia,TechPro Textbook,Books
T00923,C0173,Francisco Young,P049,19-07-2024,1,147.95,147.95,Asia,TechPro Textbook,Books
T00970,C0132,Lisa Jackson,P049,17-11-2024,4,591.80,147.95,Europe,TechPro Textbook,Books
T00005,C0150,Angela Williams,P087,25-05-2024,2,580.34,290.17,South America,TechPro Running Shoes,Clothing
T00037,C0176,Nicole Booth,P087,09-03-2024,4,1160.68,290.17,North America,TechPro Running Shoes,Clothing
T00206,C0167,Brandy Welch,P087,05-05-2024,2,580.34,290.17,Europe,TechPro Running Shoes,Clothing
T00208,C0184,Tina Jacobs,P087,14-08-2024,1,290.17,290.17,South America,TechPro Running Shoes,Clothing
T00485,C0184,Tina Jacobs,P087,13-05-2024,1,290.17,290.17,South America,TechPro Running Shoes,Clothing
T00488,C0034,Dalton Perez,P087,21-10-2024,2,580.34,290.17,North America,TechPro Running Shoes,Clothing
T00497,C0053,Albert Burke,P087,21-06-2024,4,1160.68,290.17,Europe,TechPro Running Shoes,Clothing
T00684,C0102,Michael Atkinson,P087,17-07-2024,1,290.17,290.17,South America,TechPro Running Shoes,Clothing
T00846,C0134,Theresa Gonzalez,P087,10-11-2024,4,1160.68,290.17,Asia,TechPro Running Shoes,Clothing
T00875,C0086,Stephanie Peterson,P087,26-09-2024,2,580.34,290.17,Europe,TechPro Running Shoes,Clothing
T00880,C0036,Brian Aguilar DDS,P087,02-11-2024,3,870.51,290.17,North America,TechPro Running Shoes,Clothing
T00953,C0056,Erika Fernandez,P087,07-03-2024,2,580.34,290.17,Asia,TechPro Running Shoes,Clothing
T00006,C0076,Emily Roberts,P053,01-12-2024,3,824.82,274.94,South America,TechPro Rug,Home Decor
T00010,C0194,Stacy Cook,P053,14-03-2024,1,274.94,274.94,North America,TechPro Rug,Home Decor
T00175,C0146,Brittany Harvey,P053,18-12-2024,3,824.82,274.94,Asia,TechPro Rug,Home Decor
T00269,C0124,Lindsay Perez,P053,06-02-2024,4,1099.76,274.94,Europe,TechPro Rug,Home Decor
T00293,C0053,Albert Burke,P053,11-07-2024,3,824.82,274.94,Europe,TechPro Rug,Home Decor
T00568,C0065,Gerald Hines,P053,18-09-2024,1,274.94,274.94,North America,TechPro Rug,Home Decor
T00602,C0024,Michele Cooley,P053,26-04-2024,1,274.94,274.94,North America,TechPro Rug,Home Decor
T00744,C0004,Kathleen Rodriguez,P053,11-03-2024,4,1099.76,274.94,South America,TechPro Rug,Home Decor
T00952,C0139,Ricky Gutierrez,P053,06-10-2024,1,274.94,274.94,North America,TechPro Rug,Home Decor
T00968,C0133,Gwendolyn Carter,P053,05-12-2024,4,1099.76,274.94,South America,TechPro Rug,Home Decor
T00007,C0173,Francisco Young,P023,06-05-2024,4,1818.12,454.53,Asia,ActiveWear Cookware Set,Home Decor
T00089,C0076,Emily Roberts,P023,19-06-2024,1,454.53,454.53,South America,ActiveWear Cookware Set,Home Decor
T00158,C0012,Kevin May,P023,30-05-2024,2,909.06,454.53,South America,ActiveWear Cookware Set,Home Decor
T00349,C0184,Tina Jacobs,P023,18-04-2024,1,454.53,454.53,South America,ActiveWear Cookware Set,Home Decor
T00455,C0128,Henry Leach,P023,08-01-2024,1,454.53,454.53,Asia,ActiveWear Cookware Set,Home Decor
T00501,C0158,Wendy Browning,P023,04-09-2024,3,1363.59,454.53,South America,ActiveWear Cookware Set,Home Decor
T00721,C0012,Kevin May,P023,08-12-2024,3,1363.59,454.53,South America,ActiveWear Cookware Set,Home Decor
T00749,C0133,Gwendolyn Carter,P023,20-06-2024,2,909.06,454.53,South America,ActiveWear Cookware Set,Home Decor
T00997,C0164,Morgan Perez,P023,01-11-2024,4,1818.12,454.53,Europe,ActiveWear Cookware Set,Home Decor
T00008,C0067,Carl Gonzalez,P069,17-10-2024,1,100.81,100.81,North America,BookWorld Biography,Books
T00035,C0142,Nicole Long DVM,P069,20-08-2024,2,201.62,100.81,Asia,BookWorld Biography,Books
T00140,C0121,Mark Atkinson,P069,18-03-2024,2,201.62,100.81,Europe,BookWorld Biography,Books
T00187,C0032,Dustin Campbell,P069,24-02-2024,1,100.81,100.81,South America,BookWorld Biography,Books
T00194,C0063,Wayne Ferguson,P069,28-09-2024,1,100.81,100.81,Europe,BookWorld Biography,Books
T00228,C0113,Joseph Ortiz Jr.,P069,21-04-2024,2,201.62,100.81,South America,BookWorld Biography,Books
T00232,C0136,Kristen Holder,P069,10-11-2024,3,302.43,100.81,Asia,BookWorld Biography,Books
T00355,C0017,Jennifer King,P069,12-01-2024,2,201.62,100.81,Europe,BookWorld Biography,Books
T00448,C0194,Stacy Cook,P069,22-10-2024,2,201.62,100.81,North America,BookWorld Biography,Books
T00561,C0172,Jamie Webb,P069,14-05-2024,1,100.81,100.81,Europe,BookWorld Biography,Books
T00828,C0068,Mark Cox,P069,04-06-2024,4,403.24,100.81,North America,BookWorld Biography,Books
T00852,C0125,Nicholas Taylor,P069,24-08-2024,3,302.43,100.81,North America,BookWorld Biography,Books
T00009,C0086,Stephanie Peterson,P095,06-04-2024,4,909.04,227.26,Europe,BookWorld Cookware Set,Home Decor
T00155,C0002,Elizabeth Lutz,P095,12-07-2024,2,454.52,227.26,Asia,BookWorld Cookware Set,Home Decor
T00644,C0008,David Li,P095,13-06-2024,1,227.26,227.26,North America,BookWorld Cookware Set,Home Decor
T00685,C0017,Jennifer King,P095,11-05-2024,2,454.52,227.26,Europe,BookWorld Cookware Set,Home Decor
T00800,C0122,Corey Ruiz,P095,25-08-2024,3,681.78,227.26,North America,BookWorld Cookware Set,Home Decor
T00961,C0109,Abigail Jones,P095,02-11-2024,3,681.78,227.26,North America,BookWorld Cookware Set,Home Decor
T00965,C0071,Taylor Murphy,P095,23-08-2024,4,909.04,227.26,South America,BookWorld Cookware Set,Home Decor
T00011,C0162,Edwin Watson,P062,03-04-2024,1,374.16,374.16,Asia,HomeSense Novel,Books
T00041,C0141,Paul Parsons,P062,13-02-2024,4,1496.64,374.16,Europe,HomeSense Novel,Books
T00146,C0155,Michelle Brown,P062,24-07-2024,2,748.32,374.16,South America,HomeSense Novel,Books
T00190,C0156,William Adams,P062,25-09-2024,2,748.32,374.16,North America,HomeSense Novel,Books
T00221,C0188,Anna Ball,P062,28-02-2024,4,1496.64,374.16,South America,HomeSense Novel,Books
T00230,C0064,Martha Montgomery,P062,06-12-2024,1,374.16,374.16,Europe,HomeSense Novel,Books
T00364,C0183,Kimberly Johnson,P062,16-06-2024,2,748.32,374.16,North America,HomeSense Novel,Books
T00533,C0191,Samantha Gibson DVM,P062,12-07-2024,4,1496.64,374.16,South America,HomeSense Novel,Books
T00570,C0147,Hunter Fuller,P062,25-12-2024,1,374.16,374.16,South America,HomeSense Novel,Books
T00640,C0087,Travis Campbell,P062,13-09-2024,3,1122.48,374.16,South America,HomeSense Novel,Books
T00649,C0028,Jennifer Pena,P062,23-01-2024,3,1122.48,374.16,Asia,HomeSense Novel,Books
T00664,C0138,Cynthia Clayton,P062,02-10-2024,4,1496.64,374.16,Asia,HomeSense Novel,Books
T00692,C0153,Justin Smith,P062,30-06-2024,2,748.32,374.16,South America,HomeSense Novel,Books
T00723,C0043,Sandy Short MD,P062,12-06-2024,2,748.32,374.16,Asia,HomeSense Novel,Books
T00725,C0135,Toni Weaver,P062,03-10-2024,2,748.32,374.16,Europe,HomeSense Novel,Books
T00944,C0122,Corey Ruiz,P062,08-10-2024,2,748.32,374.16,North America,HomeSense Novel,Books
T00012,C0091,Lisa Kirk,P041,29-03-2024,4,1825.12,456.28,South America,ComfortLiving Smartphone,Electronics
T00034,C0168,Karen Clements MD,P041,09-01-2024,4,1825.12,456.28,South America,ComfortLiving Smartphone,Electronics
T00094,C0012,Kevin May,P041,14-07-2024,4,1825.12,456.28,South America,ComfortLiving Smartphone,Electronics
T00231,C0069,Stacy Foster,P041,27-08-2024,2,912.56,456.28,Europe,ComfortLiving Smartphone,Electronics
T00236,C0184,Tina Jacobs,P041,25-02-2024,1,456.28,456.28,South America,ComfortLiving Smartphone,Electronics
T00261,C0125,Nicholas Taylor,P041,20-02-2024,2,912.56,456.28,North America,ComfortLiving Smartphone,Electronics
T00343,C0173,Francisco Young,P041,02-01-2024,1,456.28,456.28,Asia,ComfortLiving Smartphone,Electronics
T00482,C0066,Catherine White,P041,04-06-2024,4,1825.12,456.28,Europe,ComfortLiving Smartphone,Electronics
T00589,C0186,Amber Alexander,P041,23-10-2024,1,456.28,456.28,Asia,ComfortLiving Smartphone,Electronics
T00597,C0023,Nicholas Cain,P041,01-07-2024,3,1368.84,456.28,Europe,ComfortLiving Smartphone,Electronics
T00881,C0101,Kelsey Roberts,P041,19-08-2024,3,1368.84,456.28,Asia,ComfortLiving Smartphone,Electronics
T00014,C0105,Ryan Hampton,P060,05-08-2024,1,155.65,155.65,Europe,HomeSense T-Shirt,Clothing
T00392,C0072,Sarah Scott,P060,02-11-2024,4,622.60,155.65,North America,HomeSense T-Shirt,Clothing
T00405,C0093,Nancy Walker,P060,02-08-2024,2,311.30,155.65,Asia,HomeSense T-Shirt,Clothing
T00452,C0009,Joy Clark,P060,16-03-2024,1,155.65,155.65,Europe,HomeSense T-Shirt,Clothing
T00642,C0162,Edwin Watson,P060,06-08-2024,4,622.60,155.65,Asia,HomeSense T-Shirt,Clothing
T00768,C0083,Christina Stark,P060,17-12-2024,1,155.65,155.65,South America,HomeSense T-Shirt,Clothing
T00015,C0001,Lawrence Carroll,P054,19-01-2024,2,114.60,57.30,South America,SoundWave Cookbook,Books
T00053,C0039,Angela Harris,P054,30-09-2024,3,171.90,57.30,South America,SoundWave Cookbook,Books
T00203,C0124,Lindsay Perez,P054,31-03-2024,4,229.20,57.30,Europe,SoundWave Cookbook,Books
T00210,C0165,Juan Mcdaniel,P054,15-08-2024,2,114.60,57.30,South America,SoundWave Cookbook,Books
T00262,C0143,Brian Parker,P054,30-01-2024,1,57.30,57.30,Asia,SoundWave Cookbook,Books
T00327,C0165,Juan Mcdaniel,P054,27-11-2024,2,114.60,57.30,South America,SoundWave Cookbook,Books
T00395,C0038,Jeffrey Perkins,P054,14-03-2024,3,171.90,57.30,North America,SoundWave Cookbook,Books
T00423,C0019,Brandon Rodriguez,P054,08-11-2024,3,171.90,57.30,Europe,SoundWave Cookbook,Books
T00581,C0083,Christina Stark,P054,13-11-2024,2,114.60,57.30,South America,SoundWave Cookbook,Books
T00634,C0073,Heidi Johnson,P054,20-03-2024,4,229.20,57.30,Europe,SoundWave Cookbook,Books
T00699,C0156,William Adams,P054,21-04-2024,3,171.90,57.30,North America,SoundWave Cookbook,Books
T00784,C0047,Samantha Frank,P054,23-08-2024,3,171.90,57.30,North America,SoundWave Cookbook,Books
T00808,C0190,Alexander Lowe,P054,06-07-2024,4,229.20,57.30,South America,SoundWave Cookbook,Books
T00873,C0086,Stephanie Peterson,P054,02-08-2024,4,229.20,57.30,Europe,SoundWave Cookbook,Books
T00884,C0171,Michael Cowan,P054,28-01-2024,3,171.90,57.30,South America,SoundWave Cookbook,Books
T00926,C0181,Alexander Barker,P054,16-08-2024,3,171.90,57.30,South America,SoundWave Cookbook,Books
T00016,C0072,Sarah Scott,P070,05-07-2024,2,97.38,48.69,North America,HomeSense T-Shirt,Clothing
T00087,C0108,David Davis,P070,16-02-2024,1,48.69,48.69,South America,HomeSense T-Shirt,Clothing
T00098,C0090,Charles Hamilton,P070,28-08-2024,3,146.07,48.69,Asia,HomeSense T-Shirt,Clothing
T00281,C0126,Caitlin Brown,P070,24-09-2024,1,48.69,48.69,South America,HomeSense T-Shirt,Clothing
T00750,C0056,Erika Fernandez,P070,25-12-2024,4,194.76,48.69,Asia,HomeSense T-Shirt,Clothing
T00762,C0106,Amanda Mcguire,P070,01-11-2024,4,194.76,48.69,Asia,HomeSense T-Shirt,Clothing
T00018,C0166,John Rogers,P010,21-09-2024,3,1050.39,350.13,Europe,ComfortLiving Smartwatch,Electronics
T00068,C0088,Carlos Murray,P010,22-09-2024,3,1050.39,350.13,Asia,ComfortLiving Smartwatch,Electronics
T00243,C0069,Stacy Foster,P010,31-08-2024,2,700.26,350.13,Europe,ComfortLiving Smartwatch,Electronics
T00276,C0113,Joseph Ortiz Jr.,P010,27-11-2024,3,1050.39,350.13,South America,ComfortLiving Smartwatch,Electronics
T00292,C0086,Stephanie Peterson,P010,26-12-2024,2,700.26,350.13,Europe,ComfortLiving Smartwatch,Electronics
T00315,C0125,Nicholas Taylor,P010,03-04-2024,3,1050.39,350.13,North America,ComfortLiving Smartwatch,Electronics
T00372,C0192,Sarah Arias,P010,22-07-2024,1,350.13,350.13,South America,ComfortLiving Smartwatch,Electronics
T00516,C0074,Jonathan Russo,P010,29-07-2024,1,350.13,350.13,Europe,ComfortLiving Smartwatch,Electronics
T00710,C0162,Edwin Watson,P010,13-01-2024,1,350.13,350.13,Asia,ComfortLiving Smartwatch,Electronics
T00830,C0048,Matthew Park,P010,28-01-2024,2,700.26,350.13,South America,ComfortLiving Smartwatch,Electronics
T00986,C0122,Corey Ruiz,P010,20-05-2024,2,700.26,350.13,North America,ComfortLiving Smartwatch,Electronics
T00019,C0006,Brittany Palmer,P040,05-06-2024,2,306.38,153.19,South America,SoundWave Mystery Book,Books
T00137,C0142,Nicole Long DVM,P040,03-04-2024,4,612.76,153.19,Asia,SoundWave Mystery Book,Books
T00347,C0139,Ricky Gutierrez,P040,24-01-2024,2,306.38,153.19,North America,SoundWave Mystery Book,Books
T00359,C0048,Matthew Park,P040,04-12-2024,4,612.76,153.19,South America,SoundWave Mystery Book,Books
T00406,C0171,Michael Cowan,P040,18-02-2024,2,306.38,153.19,South America,SoundWave Mystery Book,Books
T00538,C0119,David Armstrong,P040,26-04-2024,2,306.38,153.19,Europe,SoundWave Mystery Book,Books
T00637,C0184,Tina Jacobs,P040,08-09-2024,3,459.57,153.19,South America,SoundWave Mystery Book,Books
T00704,C0186,Amber Alexander,P040,21-06-2024,4,612.76,153.19,Asia,SoundWave Mystery Book,Books
T00910,C0071,Taylor Murphy,P040,22-05-2024,1,153.19,153.19,South America,SoundWave Mystery Book,Books
T00930,C0193,Douglas Torres,P040,27-05-2024,2,306.38,153.19,Asia,SoundWave Mystery Book,Books
T00936,C0148,Matthew Rogers,P040,11-06-2024,4,612.76,153.19,South America,SoundWave Mystery Book,Books
T00993,C0027,Justin Heath,P040,08-03-2024,2,306.38,153.19,Asia,SoundWave Mystery Book,Books
T00995,C0191,Samantha Gibson DVM,P040,04-06-2024,4,612.76,153.19,South America,SoundWave Mystery Book,Books
T00020,C0153,Justin Smith,P007,16-07-2024,4,1680.60,420.15,South America,SoundWave Cookbook,Books
T00163,C0101,Kelsey Roberts,P007,13-03-2024,4,1680.60,420.15,Asia,SoundWave Cookbook,Books
T00204,C0161,Jessica Warren,P007,31-01-2024,2,840.30,420.15,Asia,SoundWave Cookbook,Books
T00309,C0103,Jennifer Munoz,P007,28-08-2024,2,840.30,420.15,Europe,SoundWave Cookbook,Books
T00421,C0047,Samantha Frank,P007,04-01-2024,1,420.15,420.15,North America,SoundWave Cookbook,Books
T00565,C0156,William Adams,P007,15-12-2024,2,840.30,420.15,North America,SoundWave Cookbook,Books
T00741,C0079,Brian Murillo,P007,22-02-2024,2,840.30,420.15,North America,SoundWave Cookbook,Books
T00945,C0193,Douglas Torres,P007,22-05-2024,3,1260.45,420.15,Asia,SoundWave Cookbook,Books
T00021,C0145,Wayne Stone,P038,11-01-2024,2,294.44,147.22,Asia,TechPro Vase,Home Decor
T00032,C0109,Abigail Jones,P038,07-11-2024,4,588.88,147.22,North America,TechPro Vase,Home Decor
T00251,C0004,Kathleen Rodriguez,P038,03-08-2024,3,441.66,147.22,South America,TechPro Vase,Home Decor
T00323,C0082,Aimee Taylor,P038,22-09-2024,4,588.88,147.22,South America,TechPro Vase,Home Decor
T00374,C0181,Alexander Barker,P038,27-12-2024,2,294.44,147.22,South America,TechPro Vase,Home Decor
T00432,C0065,Gerald Hines,P038,13-12-2024,3,441.66,147.22,North America,TechPro Vase,Home Decor
T00434,C0025,Gregory Odom,P038,09-05-2024,4,588.88,147.22,South America,TechPro Vase,Home Decor
T00726,C0111,Roger David,P038,12-12-2024,1,147.22,147.22,Europe,TechPro Vase,Home Decor
T00728,C0160,Jodi Cook,P038,08-02-2024,1,147.22,147.22,North America,TechPro Vase,Home Decor
T00785,C0159,Austin Miller,P038,26-03-2024,1,147.22,147.22,Asia,TechPro Vase,Home Decor
T00814,C0093,Nancy Walker,P038,08-09-2024,1,147.22,147.22,Asia,TechPro Vase,Home Decor
T00863,C0008,David Li,P038,08-11-2024,1,147.22,147.22,North America,TechPro Vase,Home Decor
T00913,C0117,Jeffrey Mcmahon,P038,08-02-2024,1,147.22,147.22,North America,TechPro Vase,Home Decor
T00022,C0061,Brandon Escobar,P085,19-08-2024,3,1249.05,416.35,Europe,BookWorld Biography,Books
T00052,C0090,Charles Hamilton,P085,25-02-2024,3,1249.05,416.35,Asia,BookWorld Biography,Books
T00330,C0028,Jennifer Pena,P085,15-05-2024,3,1249.05,416.35,Asia,BookWorld Biography,Books
T00401,C0189,Sherri Dixon,P085,11-11-2024,3,1249.05,416.35,North America,BookWorld Biography,Books
T00435,C0037,Linda Smith,P085,16-05-2024,4,1665.40,416.35,Europe,BookWorld Biography,Books
T00475,C0145,Wayne Stone,P085,28-09-2024,2,832.70,416.35,Asia,BookWorld Biography,Books
T00504,C0021,Robert Blanchard,P085,05-04-2024,1,416.35,416.35,Asia,BookWorld Biography,Books
T00829,C0099,Rodney Eaton,P085,23-12-2024,4,1665.40,416.35,South America,BookWorld Biography,Books
T00023,C0012,Kevin May,P061,18-06-2024,4,627.84,156.96,South America,HomeSense Desk Lamp,Home Decor
T00128,C0167,Brandy Welch,P061,01-10-2024,3,470.88,156.96,Europe,HomeSense Desk Lamp,Home Decor
T00361,C0052,Stanley Aguirre,P061,01-09-2024,4,627.84,156.96,South America,HomeSense Desk Lamp,Home Decor
T00403,C0114,Benjamin Anderson,P061,21-02-2024,4,627.84,156.96,Europe,HomeSense Desk Lamp,Home Decor
T00422,C0163,Tiffany Cain,P061,11-05-2024,3,470.88,156.96,South America,HomeSense Desk Lamp,Home Decor
T00458,C0102,Michael Atkinson,P061,25-06-2024,1,156.96,156.96,South America,HomeSense Desk Lamp,Home Decor
T00476,C0119,David Armstrong,P061,07-02-2024,1,156.96,156.96,Europe,HomeSense Desk Lamp,Home Decor
T00553,C0038,Jeffrey Perkins,P061,12-12-2024,1,156.96,156.96,North America,HomeSense Desk Lamp,Home Decor
T00655,C0182,Joshua Preston,P061,28-04-2024,4,627.84,156.96,Europe,HomeSense Desk Lamp,Home Decor
T00696,C0065,Gerald Hines,P061,05-03-2024,3,470.88,156.96,North America,HomeSense Desk Lamp,Home Decor
T00731,C0200,Kelly Cross,P061,15-07-2024,4,627.84,156.96,Asia,HomeSense Desk Lamp,Home Decor
T00791,C0052,Stanley Aguirre,P061,09-01-2024,2,313.92,156.96,South America,HomeSense Desk Lamp,Home Decor
T00795,C0178,Carol Williams,P061,21-12-2024,1,156.96,156.96,Asia,HomeSense Desk Lamp,Home Decor
T00834,C0090,Charles Hamilton,P061,16-05-2024,3,470.88,156.96,Asia,HomeSense Desk Lamp,Home Decor
T00840,C0018,Tyler Haynes,P061,28-03-2024,3,470.88,156.96,North America,HomeSense Desk Lamp,Home Decor
T00869,C0081,Kimberly Turner,P061,30-12-2023,2,313.92,156.96,Europe,HomeSense Desk Lamp,Home Decor
T00024,C0006,Brittany Palmer,P084,13-06-2024,3,1013.73,337.91,South America,ActiveWear Wall Art,Home Decor
T00100,C0197,Christina Harvey,P084,08-05-2024,3,1013.73,337.91,Europe,ActiveWear Wall Art,Home Decor
T00202,C0100,Clinton Gomez,P084,31-01-2024,1,337.91,337.91,Europe,ActiveWear Wall Art,Home Decor
T00235,C0116,James Martinez,P084,31-01-2024,2,675.82,337.91,North America,ActiveWear Wall Art,Home Decor
T00265,C0122,Corey Ruiz,P084,19-03-2024,1,337.91,337.91,North America,ActiveWear Wall Art,Home Decor
T00346,C0149,Tina Wilson,P084,09-04-2024,4,1351.64,337.91,Europe,ActiveWear Wall Art,Home Decor
T00444,C0127,Kathryn Stevens,P084,08-02-2024,1,337.91,337.91,Europe,ActiveWear Wall Art,Home Decor
T00752,C0178,Carol Williams,P084,25-04-2024,4,1351.64,337.91,Asia,ActiveWear Wall Art,Home Decor
T00753,C0075,Misty Higgins,P084,06-12-2024,4,1351.64,337.91,Europe,ActiveWear Wall Art,Home Decor
T00862,C0106,Amanda Mcguire,P084,06-05-2024,2,675.82,337.91,Asia,ActiveWear Wall Art,Home Decor
T00940,C0059,Mrs. Kimberly Wright,P084,14-09-2024,4,1351.64,337.91,North America,ActiveWear Wall Art,Home Decor
T00958,C0026,Sara Miller,P084,07-10-2024,3,1013.73,337.91,North America,ActiveWear Wall Art,Home Decor
T00990,C0195,Jeremy Mclaughlin,P084,18-08-2024,2,675.82,337.91,South America,ActiveWear Wall Art,Home Decor
T00025,C0027,Justin Heath,P003,11-10-2024,4,176.48,44.12,Asia,ComfortLiving Biography,Books
T00102,C0153,Justin Smith,P003,20-07-2024,2,88.24,44.12,South America,ComfortLiving Biography,Books
T00242,C0178,Carol Williams,P003,08-10-2024,1,44.12,44.12,Asia,ComfortLiving Biography,Books
T00381,C0109,Abigail Jones,P003,16-08-2024,4,176.48,44.12,North America,ComfortLiving Biography,Books
T00430,C0135,Toni Weaver,P003,16-05-2024,2,88.24,44.12,Europe,ComfortLiving Biography,Books
T00574,C0172,Jamie Webb,P003,23-07-2024,1,44.12,44.12,Europe,ComfortLiving Biography,Books
T00600,C0101,Kelsey Roberts,P003,02-01-2024,3,132.36,44.12,Asia,ComfortLiving Biography,Books
T00633,C0137,Robert Gardner,P003,20-03-2024,3,132.36,44.12,South America,ComfortLiving Biography,Books
